date_col_ymd,date_col_dmy,date_col_mdy,date_col_iso,date_col_full,date_col_short,epoch_seconds,epoch_milliseconds,string_col,bool_col
2023-01-05,N/A,unknown,2023-01-05T00:00:00Z,January 5,2023.00,unknown,1609459200000.00,Alpha,true
unknown,10/02/2023,02-10-2023,unknown,February 10,2023.00,1613001600.00,unknown,Beta,false
2023-03-15,unknown,N/A,2023-03-15T00:00:00Z,N/A,2023.00,1615766400.00,1615766400000.00,Gamma,unknown
2023-04-20,20/04/2023,04-20-2023,2023-04-20T00:00:00Z,unknown,N/A,1618876800.00,1618876800000.00,Delta,false
N/A,25/05/2023,unknown,2023-05-25T00:00:00Z,May 25,unknown,1622505600.00,1622505600000.00,Epsilon,true
2023-06-30,N/A,06-30-2023,2023-06-30T00:00:00Z,June 30,2023.00,1625097600.00,unknown,Zeta,false
unknown,05/07/2023,07-05-2023,unknown,July 5,2023.00,1625529600.00,1625529600000.00,unknown,true
2023-08-10,10/08/2023,08-10-2023,2023-08-10T00:00:00Z,August 10,unknown,N/A,1628553600000.00,Theta,false
unknown,unknown,09-15-2023,unknown,September 15,2023.00,1631664000.00,1631664000000.00,Iota,true
2023-10-20,N/A,10-20-2023,2023-10-20T00:00:00Z,October 20,2023.00,unknown,unknown,Kappa,false
2023-11-25,unknown,11-25-2023,N/A,November 25,2023.00,1637884800.00,1637884800000.00,Lambda,true
unknown,30/12/2023,12-30-2023,2023-12-30T00:00:00Z,N/A,2023.00,1640908800.00,unknown,Mu,false
